Time,Line,Unknown,Female,Male,Total
MD,T049,0,49,12,61
MD,T050,0,0,44,44
MD,T051,0,24,0,24
MD,T052,0,506,102,608
MD,T053,0,79,100,179
MD,T054,0,272,213,485
MD,T056,0,54,18,72
MD,T057,0,54,36,90
MD,T058,0,87,152,239
MD,T059,0,0,29,29
MD,T060,0,242,315,557
MD,T061,0,0,24,24
MD,T062,0,29,27,56
MD,T063,0,234,298,532
MD,T064,0,26,41,67
MD,T065,0,84,33,117
MD,T066,0,79,173,252
MD,T067,0,212,25,237
MD,T068,0,221,232,453
MD,T069,0,92,84,176
MD,T070,0,193,75,268
MD,T071,0,177,100,277
MD,T072,0,22,111,133
MD,T073,0,165,107,272
MD,T075,0,118,9,127
MD,T076,0,133,50,183
MD,T077,0,15,0,15
MD,T078,0,54,22,76
MD,T079,0,161,43,204
MD,T080,0,16,0,16
MD,T081,0,35,62,97
MD,T082,0,15,0,15
MD,T083,0,30,0,30
MD,T084,0,302,275,577
MD,T085,0,292,239,531
MD,T086,0,78,90,168
MD,T087,0,152,43,195
MD,T088,0,32,10,42
MD,T089,0,276,170,446
MD,T090,0,92,41,133
MD,T091,0,56,100,156
MD,T092,0,17,24,41
MD,T094,0,140,96,236
MD,T095,0,464,199,663
MD,T096,0,291,173,464
MD,T097,0,16,37,53
MD,T098,0,40,0,40
MD,T100,0,120,132,252
MD,T102,0,235,185,420
MD,T103,0,0,11,11
MD,T104,0,43,0,43
MD,T105,0,113,0,113
MD,T106,0,137,146,283
MD,T107,0,139,106,245
MD,T108,0,59,125,184
MD,T109,0,86,0,86
MD,T110,0,105,140,245
MD,T111,0,109,78,187
MD,T112,0,95,46,141
MD,T113,0,29,19,48
MD,T116,0,281,272,553
MD,T117,0,0,19,19
MD,T120,0,0,61,61
MD,T122,0,96,0,96
MD,T123,0,128,41,169
MD,T124,0,241,42,283
MD,T125,0,0,16,16
MD,T126,0,35,0,35
MD,T129,0,173,154,327
MD,T130,0,29,29,58
MD,T131,0,60,0,60
MD,T132,0,21,0,21
MD,T133,0,166,116,282
MD,T134,0,178,90,268
MD,T135,0,47,17,64
MD,T139,0,21,0,21
MD,T160,0,35,19,54
MD,T161,0,81,0,81
MD,T165,0,234,148,382
MD,T168,0,154,41,195
MD,T169,0,13,0,13
MD,T190,0,118,0,118
MD,T191,0,359,245,604
MD,T192,0,54,78,132
MD,T196,0,1071,878,1949
MD,T199,0,92,78,170
MD,T224,0,29,27,56
MD,T501,0,270,258,528
MD,T502,0,21,0,21
MD,T504,0,676,805,1481
MD,T505,0,247,200,447
MD,T506,0,492,352,844
MD,T509,0,193,93,286
MD,T510,0,521,413,934
MD,T511,0,249,271,520
MD,T512,0,213,124,337
MD,T593,0,5372,4369,9741
MD,T594,0,8604,7477,16081
MD,T596,0,6633,4390,11023
MD,T597,0,1150,1041,2191
MD,T598,0,780,399,1179
MD,WA07,0,0,16,16
MD,WA08,0,31,0,31
MD,WA10,0,31,0,31
MD,WA16,0,0,22,22
MD,WA201,0,17,0,17
MD,WA21,0,26,0,26
MD,WA25,0,13,32,45
MD,WA35,0,19,0,19
MD,WA52,0,12,0,12
MD,WA55,0,28,0,28
MD,WA64,0,0,17,17
MD,WA66,0,31,0,31
MD,WA71,0,41,0,41
MD,WA90,0,41,0,41
MD,WE05,0,26,0,26
MD,WE06,0,26,0,26
MD,Canada Coach,0,0,14,14
MD,Island Ferry,0,41,33,74
MD,Grey Hound,0,0,57,57
MD,Erindale School,0,0,17,17
MD,Private Bus,0,137,76,213
MD,Y004,0,58,18,76
MD,Y005,0,20,0,20
MD,Y007,0,26,47,73
MD,Y008,0,0,20,20
MD,Y012,0,18,0,18
MD,Y013,0,20,0,20
MD,Y020,0,0,56,56
MD,Y022,0,49,0,49
MD,Y024,0,0,18,18
MD,Y042,0,0,22,22
MD,Y077,0,18,0,18
MD,Y081,0,0,23,23
MD,Y085,0,48,16,64
MD,Y088,0,25,27,52
MD,Y090,0,0,22,22
MD,Y099,0,0,31,31
MD,Y900,0,154,28,182
MD,Y901,0,100,20,120
MD,Not Used,28,129884,86627,216539
MD,BA10,0,144,58,202
MD,BA11,0,257,103,360
MD,BA14,0,45,20,65
MD,BA15,0,54,0,54
MD,BA16,0,20,25,45
MD,BA18,0,0,12,12
MD,BA20,0,54,24,78
MD,BA24,0,43,0,43
MD,BA30,0,43,78,121
MD,BA31,0,54,24,78
MD,BA34,0,92,34,126
MD,BA39,0,34,45,79
MD,BA41,0,34,25,59
MD,BR01,0,303,175,478
MD,BR02,0,181,17,198
MD,BR03,0,131,140,271
MD,BR04,0,186,28,214
MD,BR05,0,296,134,430
MD,BR07,0,232,73,305
MD,BR08,0,34,28,62
MD,BR09,0,74,23,97
MD,BR101,0,0,21,21
MD,BR11,0,571,408,979
MD,BR12,0,0,23,23
MD,BR13,0,22,0,22
MD,BR14,0,49,59,108
MD,BR15,0,202,101,303
MD,BR16,0,59,24,83
MD,BR17,0,22,50,72
MD,BR18,0,240,59,299
MD,BR19,0,24,31,55
MD,BR23,0,66,71,137
MD,BR24,0,23,29,52
MD,BR29,0,23,103,126
MD,BR30,0,73,31,104
MD,BR32,0,0,25,25
MD,BR40,0,23,0,23
MD,BR50,0,82,0,82
MD,BR501,0,744,610,1354
MD,BR502,0,386,358,744
MD,BR51,0,47,43,90
MD,BR52,0,185,101,286
MD,BR53,0,23,75,98
MD,BR54,0,22,0,22
MD,BT01,0,60,21,81
MD,BT02,0,103,0,103
MD,BT04,0,58,0,58
MD,BT05,0,42,0,42
MD,BT06,0,21,0,21
MD,BT07,0,62,50,112
MD,BT08,0,15,0,15
MD,BT09,0,71,0,71
MD,BU01,0,205,34,239
MD,BU02,0,21,28,49
MD,BU03,0,25,0,25
MD,BU04,0,22,0,22
MD,BU05,0,21,0,21
MD,BU06,0,35,35,70
MD,BU10,0,112,39,151
MD,BU11,0,0,51,51
MD,BU12,0,29,25,54
MD,BU80,0,35,0,35
MD,D101,0,0,29,29
MD,D103,0,18,24,42
MD,D107,0,0,24,24
MD,D110,0,18,0,18
MD,D111,0,24,29,53
MD,D112,0,15,0,15
MD,D121,0,42,0,42
MD,D122,0,15,0,15
MD,D219,0,54,0,54
MD,D222,0,0,24,24
MD,D224,0,22,18,40
MD,D302,0,67,0,67
MD,D304,0,22,0,22
MD,D305,0,0,61,61
MD,D306,0,40,40,80
MD,D401,0,149,139,288
MD,D402,0,179,98,277
MD,D403,0,33,23,56
MD,D406,0,19,21,40
MD,D407,0,0,50,50
MD,D408,0,66,43,109
MD,D409,0,43,0,43
MD,D410,0,45,74,119
MD,D411,0,0,47,47
MD,D420,0,0,31,31
MD,D915,0,112,145,257
MD,D916,0,164,84,248
MD,D923,0,18,27,45
MD,GB12,0,25,0,25
MD,GB15,0,117,112,229
MD,GB16,0,177,111,288
MD,GB19,0,17,28,45
MD,GB21,0,121,155,276
MD,GB25,0,52,29,81
MD,GB29,0,59,0,59
MD,GB31,0,144,0,144
MD,GB32,0,19,0,19
MD,GB34,0,120,18,138
MD,GB38,0,28,0,28
MD,GB46,0,392,394,786
MD,GB52,0,210,434,644
MD,GB61,0,45,0,45
MD,GB65,0,34,40,74
MD,GB66,0,14,13,27
MD,GB71,0,52,0,52
MD,GB81,0,0,12,12
MD,GB88,0,12,10,22
MD,GB90,0,0,47,47
MD,GB93,0,94,0,94
MD,GB94,0,353,249,602
MD,GB95,0,27,92,119
MD,GT01,0,909,809,1718
MD,GT02,0,131,77,208
MD,GT03,0,147,237,384
MD,GT05,0,221,168,389
MD,GT06,0,85,20,105
MD,GT07,0,90,52,142
MD,GT09,0,621,697,1318
MD,GU01,0,15,11,26
MD,GU06,0,0,19,19
MD,GU08,0,21,0,21
MD,GU09,0,14,20,34
MD,GU10,0,16,0,16
MD,GU22,0,28,23,51
MD,GU24,0,0,21,21
MD,GU32,0,114,0,114
MD,GU33,0,36,0,36
MD,GU34,0,23,0,23
MD,GU37,0,30,0,30
MD,GU38,0,17,0,17
MD,GU39,0,0,28,28
MD,GU42,0,0,17,17
MD,GU43,0,17,0,17
MD,GU52,0,18,48,66
MD,GU54,0,18,0,18
MD,GU61,0,14,0,14
MD,HA01,0,354,409,763
MD,HA02,0,184,253,437
MD,HA03,0,72,0,72
MD,HA04,0,291,198,489
MD,HA05,0,237,221,458
MD,HA06,0,19,0,19
MD,HA07,0,52,13,65
MD,HA08,0,37,0,37
MD,HA10,0,261,238,499
MD,HA11,0,212,78,290
MD,HA12,0,14,0,14
MD,HA21,0,268,116,384
MD,HA22,0,24,44,68
MD,HA23,0,121,181,302
MD,HA24,0,179,56,235
MD,HA25,0,176,68,244
MD,HA26,0,194,149,343
MD,HA27,0,175,173,348
MD,HA33,0,17,65,82
MD,HA34,0,107,0,107
MD,HA35,0,246,159,405
MD,HA41,0,321,106,427
MD,HA43,0,0,48,48
MD,HA44,0,22,0,22
MD,HA51,0,191,88,279
MD,HA52,0,57,0,57
MD,HA55,0,22,0,22
MD,HA91,0,19,0,19
MD,ML02,0,0,27,27
MD,MS01,0,601,555,1156
MD,MS03,0,441,236,677
MD,MS04,0,0,23,23
MD,MS05,0,229,120,349
MD,MS06,0,37,22,59
MD,MS07,0,205,131,336
MD,MS08,0,77,65,142
MD,MS09,0,65,73,138
MD,MS10,0,141,51,192
MD,MS101,0,30,45,75
MD,MS103,0,192,144,336
MD,MS107,0,28,0,28
MD,MS11,0,52,52,104
MD,MS110,0,637,583,1220
MD,MS12,0,26,0,26
MD,MS13,0,67,112,179
MD,MS14,0,29,0,29
MD,MS15,0,44,22,66
MD,MS16,0,23,0,23
MD,MS18,0,0,28,28
MD,MS19,0,788,481,1269
MD,MS20,0,178,60,238
MD,MS21,0,19,0,19
MD,MS22,0,89,29,118
MD,MS23,0,188,133,321
MD,MS26,0,390,403,793
MD,MS28,0,168,88,256
MD,MS29,0,18,29,47
MD,MS31,0,62,0,62
MD,MS34,0,130,88,218
MD,MS35,0,214,137,351
MD,MS36,0,40,0,40
MD,MS38,0,42,43,85
MD,MS39,0,121,27,148
MD,MS42,0,233,189,422
MD,MS44,0,137,141,278
MD,MS45,0,66,20,86
MD,MS48,0,147,138,285
MD,MS51,0,60,22,82
MD,MS53,0,29,0,29
MD,MS57,0,57,0,57
MD,MS61,0,66,233,299
MD,MS62,0,19,0,19
MD,MS65,0,28,0,28
MD,MS66,0,103,112,215
MD,MS68,0,37,0,37
MD,MS71,0,0,49,49
MD,MS76,0,94,28,122
MD,MS89,0,27,38,65
MD,MS90,0,22,0,22
MD,MS91,0,17,42,59
MD,NI01,0,26,0,26
MD,NI04,0,51,0,51
MD,NI06,0,93,0,93
MD,NI10,0,0,18,18
MD,NI11,0,0,26,26
MD,NI31,0,25,0,25
MD,NR70,0,27,0,27
MD,OA01,0,103,13,116
MD,OA04,0,47,22,69
MD,OA05,0,22,22,44
MD,OA13,0,63,0,63
MD,OA14,0,73,30,103
MD,OA15,0,13,0,13
MD,OA17,0,0,33,33
MD,OA19,0,0,22,22
MD,OA20,0,34,0,34
MD,OA24,0,107,0,107
MD,OA28,0,59,37,96
MD,OR02,0,26,0,26
MD,OR03,0,12,0,12
MD,OV01,0,33,16,49
MD,OV02,0,20,0,20
MD,OV03,0,13,16,29
MD,PE01,0,0,76,76
MD,PE02,0,91,26,117
MD,PE03,0,44,12,56
MD,PE04,0,46,19,65
MD,PE05,0,39,0,39
MD,PE06,0,76,0,76
MD,PE07,0,46,0,46
MD,PE08,0,77,122,199
MD,PE09,0,38,0,38
MD,PE10,0,0,110,110
MD,PE11,0,0,19,19
MD,PE90,0,46,0,46
MD,SC03,0,49,0,49
MD,SC06,0,88,24,112
MD,SC07,0,30,0,30
MD,SC08,0,43,0,43
MD,SC09,0,0,23,23
MD,SC10,0,53,23,76
MD,SC12,0,18,27,45
MD,SC15,0,0,25,25
MD,SC16,0,24,30,54
MD,SC17,0,23,30,53
MD,SC18,0,37,33,70
MD,SC21,0,0,31,31
MD,SC25,0,57,30,87
MD,SC46,0,52,54,106
MD,SC62,0,23,0,23
MD,SC65,0,30,0,30
MD,SC66,0,60,27,87
MD,SC67,0,0,14,14
MD,T006,0,244,235,479
MD,T007,0,588,279,867
MD,T008,0,39,0,39
MD,T009,0,54,14,68
MD,T011,0,461,117,578
MD,T012,0,221,100,321
MD,T014,0,22,28,50
MD,T015,0,19,98,117
MD,T016,0,439,124,563
MD,T017,0,387,225,612
MD,T020,0,133,198,331
MD,T021,0,363,183,546
MD,T022,0,104,78,182
MD,T023,0,42,90,132
MD,T024,0,568,438,1006
MD,T025,0,839,534,1373
MD,T026,0,107,17,124
MD,T028,0,11,0,11
MD,T029,0,1193,719,1912
MD,T030,0,139,84,223
MD,T031,0,48,26,74
MD,T032,0,1278,747,2025
MD,T034,0,1371,786,2157
MD,T035,0,1237,679,1916
MD,T036,0,1765,854,2619
MD,T037,0,578,349,927
MD,T038,0,633,408,1041
MD,T039,0,1068,1014,2082
MD,T040,0,73,34,107
MD,T041,0,880,803,1683
MD,T042,0,202,32,234
MD,T043,0,558,416,974
MD,T044,0,507,325,832
MD,T045,0,442,434,876
MD,T046,0,87,164,251
MD,T047,0,311,225,536
MD,T048,0,112,67,179
MD,T049,0,89,21,110
MD,T050,0,54,29,83
MD,T051,0,118,38,156
MD,T052,0,1230,464,1694
MD,T053,0,567,343,910
MD,T054,0,1009,584,1593
MD,T055,0,0,11,11
MD,T056,0,68,82,150
MD,T057,0,347,167,514
MD,T058,0,381,143,524
MD,T059,0,84,0,84
MD,T060,0,822,882,1704
MD,T061,0,68,26,94
MD,T062,0,56,74,130
MD,T063,0,356,314,670
MD,T064,0,192,37,229
MD,T065,0,115,32,147
MD,T066,0,90,47,137
MD,T067,0,52,56,108
MD,T068,0,579,287,866
MD,T069,0,124,140,264
MD,T070,0,145,135,280
MD,T071,0,109,80,189
MD,T072,0,279,182,461
MD,T073,0,438,118,556
MD,T074,0,58,15,73
MD,T075,0,77,126,203
MD,T076,0,127,121,248
MD,T077,0,44,43,87
MD,T078,0,22,0,22
MD,T079,0,75,71,146
MD,T080,0,97,34,131
MD,T081,0,70,39,109
MD,T082,0,35,11,46
MD,T083,0,59,36,95
MD,T084,0,920,638,1558
MD,T085,0,965,421,1386
MD,T086,0,265,276,541
MD,T087,0,135,77,212
MD,T088,0,61,10,71
MD,T089,0,383,104,487
MD,T090,0,85,0,85
MD,T091,0,33,102,135
MD,T092,0,59,0,59
MD,T094,0,277,62,339
MD,T095,0,1749,918,2667
MD,T096,0,1376,777,2153
MD,T097,0,103,11,114
MD,T098,0,103,45,148
MD,T099,0,0,22,22
MD,T100,0,245,158,403
MD,T102,0,630,421,1051
MD,T104,0,60,73,133
MD,T105,0,172,49,221
MD,T106,0,267,280,547
MD,T107,0,148,77,225
MD,T108,0,127,28,155
MD,T109,0,141,118,259
MD,T110,0,65,138,203
MD,T111,0,181,137,318
MD,T112,0,73,43,116
MD,T113,0,72,145,217
MD,T115,0,0,14,14
MD,T116,0,646,417,1063
MD,T117,0,64,18,82
MD,T120,0,22,22,44
MD,T122,0,53,0,53
MD,T123,0,298,25,323
MD,T124,0,89,73,162
MD,T125,0,144,19,163
MD,T126,0,16,20,36
MD,T127,0,88,49,137
MD,T129,0,568,208,776
MD,T131,0,172,193,365
MD,T132,0,30,33,63
MD,T133,0,371,250,621
MD,T134,0,335,189,524
MD,T135,0,67,17,84
MD,T139,0,0,31,31
MD,T160,0,26,12,38
MD,T161,0,129,53,182
MD,T162,0,15,0,15
MD,T165,0,486,209,695
MD,T167,0,16,29,45
MD,T168,0,98,55,153
MD,T190,0,519,174,693
MD,T191,0,359,173,532
MD,T192,0,93,83,176
MD,T196,0,509,603,1112
MD,T199,0,612,336,948
MD,T224,0,44,0,44
MD,T302,0,0,11,11
MD,T306,0,32,0,32
MD,T329,0,53,0,53
MD,T354,0,13,0,13
MD,T385,0,29,0,29
MD,TTC Wheel Trans,0,25,49,74
MD,T501,0,819,616,1435
MD,T502,0,25,97,122
MD,T504,0,1334,694,2028
MD,T505,0,719,783,1502
MD,T506,0,916,481,1397
MD,T509,0,227,235,462
MD,T510,0,939,663,1602
MD,T511,0,485,309,794
MD,T512,0,825,459,1284
MD,T593,0,10820,8850,19670
MD,T594,0,19324,14252,33576
MD,T596,0,31212,25515,56727
MD,T597,0,2639,1992,4631
MD,T598,0,2079,1701,3780
MD,WA01,0,31,32,63
MD,WA02,0,13,0,13
MD,WA03,0,55,70,125
MD,WA04,0,0,16,16
MD,WA05,0,66,27,93
MD,WA06,0,34,48,82
MD,WA07,0,341,356,697
MD,WA08,0,120,97,217
MD,WA09,0,58,104,162
MD,WA10,0,20,38,58
MD,WA11,0,44,78,122
MD,WA12,0,181,108,289
MD,WA13,0,13,0,13
MD,WA14,0,17,13,30
MD,WA15,0,17,0,17
MD,WA16,0,32,96,128
MD,WA17,0,54,0,54
MD,WA19,0,19,42,61
MD,WA20,0,80,21,101
MD,WA201,0,34,123,157
MD,WA21,0,16,16,32
MD,WA22,0,85,57,142
MD,WA23,0,18,32,50
MD,WA24,0,74,65,139
MD,WA25,0,136,21,157
MD,WA27,0,21,11,32
MD,WA29,0,47,17,64
MD,WA35,0,47,0,47
MD,WA51,0,379,120,499
MD,WA52,0,46,0,46
MD,WA53,0,12,45,57
MD,WA55,0,21,21,42
MD,WA56,0,17,0,17
MD,WA57,0,12,0,12
MD,WA58,0,24,0,24
MD,WA59,0,24,0,24
MD,WA60,0,58,0,58
MD,WA61,0,77,0,77
MD,WA62,0,28,28,56
MD,WA63,0,101,23,124
MD,WA64,0,41,22,63
MD,WA65,0,22,22,44
MD,WA71,0,22,0,22
MD,WA90,0,303,229,532
MD,WA91,0,139,84,223
MD,WE02,0,37,0,37
MD,WE05,0,29,18,47
MD,WE06,0,44,18,62
MD,WE08,0,26,0,26
MD,WE09,0,123,0,123
MD,Canada Coach,0,34,11,45
MD,Island Ferry,0,63,39,102
MD,Grey Hound,0,35,13,48
MD,Via Rail,0,0,21,21
MD,Erindale School,0,37,42,79
MD,Private Bus,0,66,82,148
MD,Y001,0,70,41,111
MD,Y002,0,192,76,268
MD,Y003,0,26,29,55
MD,Y004,0,174,99,273
MD,Y005,0,26,0,26
MD,Y007,0,0,26,26
MD,Y008,0,64,29,93
MD,Y011,0,24,0,24
MD,Y013,0,0,24,24
MD,Y020,0,24,79,103
MD,Y022,0,29,27,56
MD,Y023,0,26,46,72
MD,Y033,0,30,0,30
MD,Y053,0,0,33,33
MD,Y055,0,37,98,135
MD,Y057,0,47,22,69
MD,Y077,0,156,190,346
MD,Y083,0,23,0,23
MD,Y085,0,98,152,250
MD,Y087,0,19,0,19
MD,Y088,0,244,83,327
MD,Y090,0,96,36,132
MD,Y091,0,165,25,190
MD,Y098,0,49,0,49
MD,Y099,0,53,81,134
MD,Y900,0,533,360,893
MD,Y901,0,347,292,639
MD,Y902,0,0,21,21
MD,Y903,0,31,20,51
MD,Y904,0,125,27,152
MD,BA10,0,133,61,194
MD,BA11,0,255,216,471
MD,BA12,0,24,0,24
MD,BA13,0,37,57,94
MD,BA14,0,84,54,138
MD,BA15,0,0,40,40
MD,BA16,0,108,34,142
MD,BA18,0,97,25,122
MD,BA20,0,306,103,409
MD,BA22,0,37,0,37
MD,BA24,0,14,0,14
MD,BA28,0,0,28,28
MD,BA30,0,260,89,349
MD,BA31,0,74,140,214
MD,BA32,0,24,0,24
MD,BA33,0,90,54,144
MD,BA34,0,98,20,118
MD,BA39,0,165,12,177
MD,BA41,0,78,68,146
MD,BA97,0,0,57,57
MD,BR01,0,476,367,843
MD,BR02,0,226,262,488
MD,BR03,0,301,308,609
MD,BR04,0,602,332,934
MD,BR05,0,496,292,788
MD,BR07,0,386,270,656
MD,BR08,0,244,46,290
MD,BR09,0,274,124,398
MD,BR101,0,52,23,75
MD,BR11,0,530,427,957
MD,BR12,0,161,44,205
MD,BR13,0,27,27,54
MD,BR14,0,303,278,581
MD,BR15,0,377,249,626
MD,BR16,0,125,50,175
MD,BR17,0,80,17,97
MD,BR18,0,471,278,749
MD,BR19,0,103,47,150
MD,BR20,0,23,0,23
MD,BR21,0,0,74,74
MD,BR22,0,22,0,22
MD,BR23,0,350,335,685
MD,BR24,0,132,42,174
MD,BR25,0,59,0,59
MD,BR29,0,261,96,357
MD,BR30,0,159,167,326
MD,BR31,0,28,0,28
MD,BR32,0,102,51,153
MD,BR33,0,19,0,19
MD,BR35,0,23,0,23
MD,BR40,0,45,0,45
MD,BR50,0,293,101,394
MD,BR501,0,910,703,1613
MD,BR502,0,532,467,999
MD,BR51,0,98,35,133
MD,BR511,0,0,28,28
MD,BR52,0,459,130,589
MD,BR53,0,114,74,188
MD,BR54,0,68,0,68
MD,BR92,0,24,28,52
MD,BR97,0,120,140,260
MD,BT01,0,129,24,153
MD,BT02,0,107,50,157
MD,BT04,0,235,95,330
MD,BT05,0,107,23,130
MD,BT06,0,64,0,64
MD,BT07,0,66,23,89
MD,BT08,0,133,102,235
MD,BT09,0,219,68,287
MD,BT11,0,0,26,26
MD,BT13,0,64,0,64
MD,BT97,0,19,0,19
MD,BT98,0,59,76,135
MD,BU01,0,166,241,407
MD,BU02,0,186,105,291
MD,BU03,0,203,35,238
MD,BU04,0,222,62,284
MD,BU05,0,54,20,74
MD,BU06,0,74,22,96
MD,BU10,0,570,300,870
MD,BU11,0,34,26,60
MD,BU12,0,139,25,164
MD,BU15,0,129,0,129
MD,BU96,0,25,25,50
MD,BU98,0,68,0,68
MD,CO03,0,11,32,43
MD,CO99,0,46,21,67
MD,D101,0,18,51,69
MD,D102,0,18,24,42
MD,D103,0,44,0,44
MD,D105,0,29,0,29
MD,D107,0,0,29,29
MD,D108,0,29,0,29
MD,D110,0,68,80,148
MD,D111,0,29,56,85
MD,D112,0,57,83,140
MD,D121,0,80,0,80
MD,D122,0,33,0,33
MD,D197,0,73,0,73
MD,D198,0,25,49,74
MD,D218,0,24,24,48
MD,D219,0,105,116,221
MD,D221,0,16,49,65
MD,D222,0,85,79,164
MD,D224,0,79,31,110
MD,D225,0,103,55,158
MD,D226,0,139,22,161
MD,D232,0,22,24,46
MD,D280,0,0,27,27
MD,D292,0,0,30,30
MD,D296,0,0,22,22
MD,D297,0,116,90,206
MD,D302,0,124,96,220
MD,D303,0,85,0,85
MD,D304,0,54,46,100
MD,D305,0,114,131,245
MD,D306,0,158,135,293
MD,D397,0,44,0,44
MD,D398,0,38,26,64
MD,D401,0,736,631,1367
MD,D402,0,238,321,559
MD,D403,0,207,130,337
MD,D405,0,17,0,17
MD,D406,0,80,14,94
MD,D407,0,152,187,339
MD,D408,0,137,104,241
MD,D409,0,120,78,198
MD,D410,0,167,222,389
MD,D411,0,212,147,359
MD,D412,0,170,208,378
MD,D419,0,73,19,92
MD,D420,0,109,213,322
MD,D496,0,83,26,109
MD,D497,0,26,58,84
MD,D501,0,0,47,47
MD,D606,0,16,0,16
MD,D915,0,510,404,914
MD,D916,0,381,395,776
MD,D922,0,26,60,86
MD,D923,0,105,84,189
MD,D950,0,62,23,85
MD,FE99,0,16,47,63
MD,GB12,0,0,35,35
MD,GB15,0,85,46,131
MD,GB16,0,163,188,351
MD,GB19,0,71,28,99
MD,GB20,0,27,33,60
MD,GB21,0,658,670,1328
MD,GB25,0,19,0,19
MD,GB27,0,33,0,33
MD,GB29,0,0,57,57
MD,GB30,0,0,8,8
MD,GB31,0,260,257,517
MD,GB33,0,14,0,14
MD,GB34,0,259,340,599
MD,GB38,0,13,41,54
MD,GB40,0,36,17,53
MD,GB46,0,1213,1220,2433
MD,GB52,0,894,641,1535
MD,GB61,0,28,158,186
MD,GB65,0,324,172,496
MD,GB66,0,44,22,66
MD,GB69,0,0,62,62
MD,GB71,0,288,162,450
MD,GB81,0,56,23,79
MD,GB88,0,63,46,109
MD,GB90,0,19,52,71
MD,GB93,0,186,95,281
MD,GB94,0,737,549,1286
MD,GB95,0,80,44,124
MD,GB96,0,14,64,78
MD,GT01,0,1465,1580,3045
MD,GT02,0,359,359,718
MD,GT03,0,271,486,757
MD,GT05,0,170,155,325
MD,GT06,0,39,83,122
MD,GT07,0,231,279,510
MD,GT09,0,1591,1224,2815
MD,GU01,0,41,47,88
MD,GU03,0,117,49,166
MD,GU04,0,17,46,63
MD,GU07,0,35,19,54
MD,GU08,0,34,14,48
MD,GU09,0,69,0,69
MD,GU10,0,20,14,34
MD,GU22,0,21,19,40
MD,GU23,0,19,21,40
MD,GU24,0,17,17,34
MD,GU31,0,30,0,30
MD,GU32,0,69,268,337
MD,GU33,0,87,29,116
MD,GU34,0,0,22,22
MD,GU35,0,77,55,132
MD,GU37,0,91,0,91
MD,GU38,0,70,0,70
MD,GU40,0,90,0,90
MD,GU41,0,36,52,88
MD,GU42,0,86,0,86
MD,GU43,0,74,29,103
MD,GU44,0,0,58,58
MD,GU45,0,0,30,30
MD,GU50,0,50,0,50
MD,GU51,0,0,58,58
MD,GU52,0,58,12,70
MD,GU54,0,0,43,43
MD,GU55,0,30,0,30
MD,GU58,0,30,0,30
MD,GU61,0,59,0,59
MD,GU70,0,56,131,187
MD,GU71,0,0,28,28
MD,GU76,0,60,0,60
MD,GU97,0,13,71,84
MD,GU99,0,53,156,209
MD,HA01,0,2082,1395,3477
MD,HA02,0,1447,953,2400
MD,HA03,0,360,139,499
MD,HA04,0,506,305,811
MD,HA05,0,1599,1172,2771
MD,HA06,0,155,96,251
MD,HA07,0,144,18,162
MD,HA08,0,161,76,237
MD,HA10,0,865,686,1551
MD,HA11,0,168,290,458
MD,HA12,0,45,0,45
MD,HA16,0,0,56,56
MD,HA21,0,424,505,929
MD,HA22,0,308,299,607
MD,HA23,0,482,266,748
MD,HA24,0,312,227,539
MD,HA25,0,581,154,735
MD,HA26,0,276,131,407
MD,HA27,0,513,371,884
MD,HA33,0,202,53,255
MD,HA34,0,198,149,347
MD,HA35,0,544,436,980
MD,HA41,0,965,656,1621
MD,HA43,0,316,200,516
MD,HA44,0,41,115,156
MD,HA51,0,361,318,679
MD,HA52,0,351,155,506
MD,HA55,0,288,106,394
MD,HA58,0,230,0,230
MD,HA90,0,29,0,29
MD,HA93,0,35,0,35
MD,HA98,0,333,120,453
MD,HA99,0,0,34,34
MD,LI03,0,0,20,20
MD,MI97,0,26,0,26
MD,Midland Transit,0,127,40,167
MD,ML02,0,197,27,224
MD,ML04,0,24,50,74
MD,ML06,0,35,0,35
MD,ML07,0,51,0,51
MD,MS01,0,1425,1071,2496
MD,MS03,0,774,469,1243
MD,MS04,0,189,182,371
MD,MS05,0,321,365,686
MD,MS06,0,255,189,444
MD,MS07,0,231,66,297
MD,MS08,0,361,203,564
MD,MS09,0,162,104,266
MD,MS10,0,413,398,811
MD,MS101,0,142,81,223
MD,MS102,0,21,0,21
MD,MS103,0,205,234,439
MD,MS107,0,0,28,28
MD,MS11,0,218,131,349
MD,MS110,0,460,592,1052
MD,MS12,0,20,0,20
MD,MS13,0,654,454,1108
MD,MS14,0,0,20,20
MD,MS15,0,41,46,87
MD,MS16,0,44,22,66
MD,MS18,0,0,30,30
MD,MS19,0,2541,1580,4121
MD,MS20,0,436,343,779
MD,MS22,0,222,116,338
MD,MS23,0,321,249,570
MD,MS24,0,19,0,19
MD,MS25,0,29,0,29
MD,MS26,0,456,709,1165
MD,MS27,0,24,42,66
MD,MS28,0,396,94,490
MD,MS29,0,236,69,305
MD,MS30,0,61,66,127
MD,MS301,0,19,0,19
MD,MS303,0,22,0,22
MD,MS304,0,0,42,42
MD,MS305,0,0,17,17
MD,MS309,0,21,0,21
MD,MS31,0,50,0,50
MD,MS312,0,50,42,92
MD,MS313,0,22,0,22
MD,MS317,0,33,20,53
MD,MS319,0,38,28,66
MD,MS32,0,27,0,27
MD,MS328,0,20,22,42
